20121108| Q 2 | obs 31 from 12.260--27.582 | MD 0.511 
20121109| Q 2 | obs 32 from 12.259--27.591 | MD 0.495 
20121110| Q 3 | obs 32 from 12.260--27.593 | MD 0.495 
20121111| Q 3 | obs 32 from 12.262--27.624 | MD 0.496 
20121112| Q 1 | obs 30 from 12.260--27.581 | MD 0.528 
20121113| Q 3 | obs 32 from 12.262--27.579 | MD 0.494 
20121114| Q 2 | obs 31 from 12.262--27.582 | MD 0.511 
20121115| Q 2 | obs 31 from 12.259--27.617 | MD 0.512 
20121116| Q 3 | obs 31 from 12.260--27.582 | MD 0.511 
20121117| Q 3 | obs 30 from 12.258--27.524 | MD 0.526 
20121118| Q 3 | obs 32 from 12.259--27.583 | MD 0.494 
20121119| Q 1 | obs 32 from 12.261--27.589 | MD 0.494 
20121120| Q 5 | obs 32 from 12.258--27.582 | MD 0.494 
20121121| Q 5 | obs 29 from 12.260--27.580 | MD 0.547 
20121122| Q 2 | obs 32 from 12.259--27.546 | MD 0.493 
20121123| Q 2 | obs 22 from 12.262--27.635 | MD 0.732 
20121124| Q 2 | obs 32 from 12.261--27.580 | MD 0.494 
20121125| Q 3 | obs 32 from 12.262--27.578 | MD 0.494 
20121126| Q 5 | obs 11 from 17.919--27.616 | MD 0.970 
20121127| Q 2 | obs 28 from 13.289--27.533 | MD 0.528 
20121128| Q 4 | obs 13 from 13.250--25.166 | MD 0.993 
20121201| Q 4 | obs 14 from 20.256--27.580 | MD 0.563 
20121202| Q 2 | obs 29 from 12.260--27.581 | MD 0.547 
20121203| Q 3 | obs 31 from 12.261--27.578 | MD 0.511 
20121204| Q 5 | obs 30 from 13.250--27.580 | MD 0.494 
20121205| Q 3 | obs 27 from 14.873--27.578 | MD 0.489 
20121206| Q 3 | obs 16 from 20.250--27.581 | MD 0.489 
20121207| Q 5 | obs 32 from 12.264--27.541 | MD 0.493 
20121208| Q 5 | obs 32 from 12.259--27.580 | MD 0.494 
20121209| Q 2 | obs 31 from 12.460--27.581 | MD 0.504 
20121210| Q 2 | obs 31 from 12.262--27.577 | MD 0.510 
20121211| Q 3 | obs 32 from 12.262--27.583 | MD 0.494 
20121212| Q 3 | obs 29 from 12.262--27.171 | MD 0.532 
20121213| Q 2 | obs 31 from 12.331--27.599 | MD 0.509 
20121214| Q 2 | obs 31 from 12.259--27.583 | MD 0.511 
20121215| Q 4 | obs 32 from 12.262--27.581 | MD 0.494 
20121216| Q 2 | obs 32 from 12.260--27.580 | MD 0.494 
20121217| Q 3 | obs 27 from 12.291--27.244 | MD 0.575 
20121218| Q 2 | obs 31 from 12.261--27.589 | MD 0.511 
20121219| Q 2 | obs 32 from 12.261--27.582 | MD 0.494 
20121220| Q 3 | obs 31 from 12.262--27.622 | MD 0.512 
20121221| Q 2 | obs 32 from 12.262--27.582 | MD 0.494 
20121222| Q 1 | obs 32 from 12.259--27.578 | MD 0.494 
20121223| Q 3 | obs 30 from 12.306--27.579 | MD 0.527 
20121224| Q 4 | obs 32 from 12.260--27.591 | MD 0.495 
20121225| Q 2 | obs 32 from 12.260--27.582 | MD 0.494 
20121226| Q 2 | obs 27 from 12.259--27.587 | MD 0.590 
20121227| Q 3 | obs 32 from 12.260--27.581 | MD 0.494 
20121228| Q 3 | obs 29 from 12.260--27.612 | MD 0.548 
20121229| Q 1 | obs 31 from 12.259--27.651 | MD 0.513 
20121230| Q 1 | obs 31 from 12.259--27.582 | MD 0.511 
20121231| Q 4 | obs 31 from 12.259--27.578 | MD 0.511 
20130101| Q 3 | obs 32 from 12.260--27.583 | MD 0.494 
20130102| Q 3 | obs 32 from 12.261--27.558 | MD 0.493 
20130103| Q 4 | obs 32 from 12.260--27.583 | MD 0.494 
20130104| Q 1 | obs 32 from 12.262--27.578 | MD 0.494 
20130105| Q 2 | obs 31 from 12.262--27.603 | MD 0.511 
20130106| Q 2 | obs 31 from 12.262--27.577 | MD 0.511 
20130107| Q 3 | obs 25 from 12.262--24.093 | MD 0.493 
20130108| Q 5 | obs 16 from 16.878--24.152 | MD 0.485 
20130109| Q 3 | obs 22 from 17.287--27.562 | MD 0.489 
20130116| Q 2 | obs 12 from 19.250--24.579 | MD 0.484 
20130427| Q 3 | obs 16 from 16.750--24.164 | MD 0.494 
20130429| Q 5 | obs 16 from 16.260--23.539 | MD 0.485 
20130501| Q 5 | obs 10 from 21.275--25.733 | MD 0.495 
20130502| Q 4 | obs 16 from 17.773--25.198 | MD 0.495 
20130503| Q 4 | obs 7 from 22.935--25.731 | MD 0.466 
20130504| Q 4 | obs 17 from 17.907--25.576 | MD 0.479 
